model,weight,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,roc_auc_mean,roc_auc_std
XGBoost,0.33331955551854997,0.5465429532974675,0.031373051991375606,0.45194305713658844,0.05285443284095114,0.4911592092873028,0.01580396255370521,0.5087888572592122,0.007309411351997659
Random Forest,0.3342724728332042,0.5466677088971303,0.029668317800537466,0.49458645892229364,0.08121584537861239,0.5134994534558879,0.034542483999490635,0.5102434185159953,0.014101932860326792
LightGBM,0.33240797164824576,0.5452458099215891,0.0284690439669076,0.4413518534334424,0.05274599186104035,0.48435625477411753,0.01783202511934263,0.5073973885980158,0.008396450537052192
