model,weight,precision,recall,f1_score,roc_auc
XGBoost,0.33331955551854997,0.5601323231245331,0.3159383652341399,0.4040023090244372,0.5354406095703449
Random Forest,0.3342724728332042,0.564333943333123,0.2691404839292163,0.3644625573102394,0.5383983958963175
LightGBM,0.33240797164824576,0.5633671446892853,0.29083905140243166,0.3836290738755905,0.5365234074779142
Weighted Ensemble,1.0,0.564743967039435,0.28876248946671484,0.3821338962125134,0.5376264957847783
